construct,n_items,mean_raw,SD_raw,alpha,score_mean,score_SD
ATT,3,3.627215551743854,1.016294057601797,0.7021115826048248,3.6272155517438534,0.7819901270113023
CON,3,3.861635220125786,0.9477380694332374,0.7621009220059145,3.8616352201257858,0.7777971866002878
SNO,3,3.9425385934819897,0.9966271769579971,0.8055239192911413,3.9425385934819897,0.8372782603485122
COVID,3,3.955403087478559,0.9383396164584855,0.7728876142223233,3.955403087478559,0.7702831072571307
INT,3,3.891080617495712,0.9245950995760788,0.7823103097751618,3.891080617495712,0.7649015661468511
BE,4,3.7885934819897082,1.0223277435725373,0.7479826851933673,3.7885934819897082,0.7540382233856436
PU,3,3.840480274442539,0.9328295673677408,0.7274298923373648,3.840480274442539,0.7495644247427593
PEU,2,3.599056603773585,1.0426589455619313,0.6726744168570922,3.599056603773585,0.8921733901919812
PO,2,3.7658662092624358,0.9790081021713974,0.8112650061338942,3.7658662092624358,0.8980577397768397
PRI,3,3.9628359062321326,0.7699623727311878,0.9185938460275161,3.962835906232132,0.714153259969382
INT_BE_correlation,,,,,0.6514575831525611,8.832882449485395e-142
