domain,metric,value,source_phase,source_file,verification_status
data,N,1166,01,results/01_data_inspection/data_dimensions.csv,VERIFIED
data,missing_values_total,0,01,results/01_data_inspection/missing_values.csv,VERIFIED
data,duplicate_rows_count,42,01,results/01_data_inspection/duplicate_information.csv,VERIFIED
measurement,ATT_alpha,0.7021115826048248,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,ATT_score_mean,3.6272155517438542,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,ATT_score_SD,0.7819901270113023,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,CON_alpha,0.7621009220059145,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,CON_score_mean,3.8616352201257858,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,CON_score_SD,0.7777971866002878,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,SNO_alpha,0.8055239192911413,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,SNO_score_mean,3.9425385934819897,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,SNO_score_SD,0.837278260348512,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,COVID_alpha,0.7728876142223233,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,COVID_score_mean,3.955403087478559,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,COVID_score_SD,0.7702831072571306,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,INT_alpha,0.7823103097751618,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,INT_score_mean,3.891080617495712,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,INT_score_SD,0.764901566146851,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,BE_alpha,0.7479826851933673,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,BE_score_mean,3.788593481989708,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,BE_score_SD,0.7540382233856436,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PU_alpha,0.7274298923373648,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,PU_score_mean,3.840480274442539,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PU_score_SD,0.7495644247427593,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PEU_alpha,0.6726744168570922,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,PEU_score_mean,3.599056603773585,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PEU_score_SD,0.8921733901919812,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PO_alpha,0.8112650061338942,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,PO_score_mean,3.765866209262436,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PO_score_SD,0.8980577397768397,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PRI_alpha,0.918593846027516,02,results/02_measurement/cronbach_alpha.csv,VERIFIED
measurement,PRI_score_mean,3.962835906232132,02,results/02_measurement/construct_statistics.csv,VERIFIED
measurement,PRI_score_SD,0.714153259969382,02,results/02_measurement/construct_statistics.csv,VERIFIED
gap,mean,-4.875078804528989e-16,03,results/03_gap_analysis/gap_statistics.csv,VERIFIED
gap,SD,0.8349160638620378,03,results/03_gap_analysis/gap_statistics.csv,VERIFIED
gap,n_INT_gt_BE,524,03,results/03_gap_analysis/gap_statistics.csv,VERIFIED
gap,n_BE_gt_INT,642,03,results/03_gap_analysis/gap_statistics.csv,VERIFIED
lpa,K2_BIC,5932.853752901799,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K2_AIC,5877.179074865784,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K2_entropy,0.599786309643466,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K3_BIC,5906.631363033211,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K3_AIC,5820.588678795733,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K3_entropy,0.6110818440435285,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K4_BIC,4657.054958638112,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K4_AIC,4540.644268199172,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K4_entropy,0.4236446643838081,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K5_BIC,4633.418407189735,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K5_AIC,4486.639710549332,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K5_entropy,0.3416248967605995,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K6_BIC,2129.1734426912567,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K6_AIC,1952.026739849392,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K6_entropy,0.1418497523045633,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K7_BIC,1616.0232002565715,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K7_AIC,1408.5084912132438,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,K7_entropy,0.0991256569666002,04,results/04_lpa_estimation/model_fit.csv,VERIFIED
lpa,primary_K,7,05,results/05_lpa_selection/selected_model.csv,VERIFIED
lpa,K7_minimum_BIC_under_primary_specification,True,05,results/05_lpa_selection/selected_model.csv,VERIFIED
k6_profiles,profile_0_N,281,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_0_INT_mean,4.468564650059311,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_0_BE_mean,4.01067615658363,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_0_INT_minus_BE,0.4578884934756813,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_1_N,125,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_1_INT_mean,2.8960000000000004,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_1_BE_mean,2.978,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_1_INT_minus_BE,-0.08199999999999985,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_2_N,108,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_2_INT_mean,4.5925925925925934,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_2_BE_mean,5.0,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_2_INT_minus_BE,-0.40740740740740655,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_3_N,264,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_3_INT_mean,3.523989898989899,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_3_BE_mean,3.596590909090909,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_3_INT_minus_BE,-0.07260101010101039,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_4_N,245,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_4_INT_mean,4.0,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_4_BE_mean,3.8316326530612246,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_4_INT_minus_BE,0.16836734693877542,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_5_N,70,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_5_INT_mean,2.1142857142857143,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_5_BE_mean,2.732142857142857,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_5_INT_minus_BE,-0.6178571428571429,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_6_N,73,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_6_INT_mean,5.0,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_6_BE_mean,4.092465753424658,04/06,results/04_lpa_estimation/K_7/,VERIFIED
k6_profiles,profile_6_INT_minus_BE,0.9075342465753424,04/06,results/04_lpa_estimation/K_7/,VERIFIED
classification,mean_max_posterior,0.9105387377029004,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,median_max_posterior,0.999500540877914,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,pct_maxprob_>=0.90,77.01543739279589,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,pct_maxprob_>=0.80,82.16123499142367,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,pct_maxprob_>=0.70,84.90566037735849,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,pct_maxprob_<0.70,15.09433962264151,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
classification,pct_maxprob_<0.50,0.0,13,results/13_k6_profile_validation/k6_classification_quality.csv,VERIFIED
stability,bootstrap_B,200,14,results/14_k6_stability/bootstrap_results.csv,VERIFIED
stability,bootstrap_converged,200,14,results/14_k6_stability/bootstrap_results.csv,VERIFIED
stability,n_master_rows,17,14,results/14_k6_stability/k6_stability_master.csv,VERIFIED
stability,n_split_sample_rows,12,14,results/14_k6_stability/split_sample_results.csv,VERIFIED
structure,K_2_n_profiles,2,15,results/15_profile_structure_comparison/all_k_profile_structure.csv,VERIFIED
structure,K_7_n_profiles,7,15,results/15_profile_structure_comparison/all_k_profile_structure.csv,VERIFIED
structure,n_split_rows,20,15,results/15_profile_structure_comparison/profile_split_comparison.csv,VERIFIED
gap_validation,K7_between_over_total_pct,33.45799583661564,16,results/16_gap_profile_validation/gap_variance_decomposition.csv,VERIFIED
gap_validation,gap_only_min_BIC_K,6,16,results/16_gap_profile_validation/gap_only_model_comparison.csv,VERIFIED
