item,construct,N,mean,SD,min,max,var
ATT1,ATT,1166,3.2941680960548885,1.0580167466052437,1.0,5.0,1.1193994360971444
ATT2,ATT,1166,3.737564322469983,0.9281920599482169,1.0,5.0,0.8615405001509141
ATT3,ATT,1166,3.8499142367066894,0.9729098831377002,1.0,5.0,0.9465536407070134
CON1,CON,1166,3.8147512864493995,0.9236921053416266,1.0,5.0,0.8532071054704465
CON2,CON,1166,3.8001715265866207,0.9745429062554275,1.0,5.0,0.9497338761327749
CON3,CON,1166,3.969982847341338,0.9356778542403545,1.0,5.0,0.8754930469158342
SNO1,SNO,1166,4.100343053173241,0.9426744270141999,1.0,5.0,0.8886350753465501
SNO2,SNO,1166,3.7564322469982847,1.0336928085481765,1.0,5.0,1.068520822444217
SNO3,SNO,1166,3.9708404802744424,0.9818125378656332,1.0,5.0,0.9639558595101553
COVID1,COVID,1166,4.051457975986278,0.9231930600526967,1.0,5.0,0.8522854261294621
COVID2,COVID,1166,3.765008576329331,0.9482816399129065,1.0,5.0,0.8992380685959113
COVID3,COVID,1166,4.049742710120069,0.91488169586897,1.0,5.0,0.8370085174360824
INT1,INT,1166,3.724699828473413,0.9286238121531369,1.0,5.0,0.8623421844978246
INT2,INT,1166,3.923670668953688,0.933959538847015,1.0,5.0,0.872280420203329
INT3,INT,1166,4.024871355060034,0.8858829550486429,1.0,5.0,0.7847886100457159
BE1,BE,1166,4.052315608919383,0.9689642042206067,1.0,5.0,0.9388916290608736
BE2,BE,1166,3.8747855917667238,0.9492344764749673,1.0,5.0,0.9010460913287053
BE3,BE,1166,3.45368782161235,1.1213875304497218,1.0,5.0,1.257509993448126
BE4,BE,1166,3.7735849056603774,0.9467479531407804,1.0,5.0,0.8963316867762573
PU1,PU,1166,3.769296740994854,0.9587817839811574,1.0,5.0,0.9192625092940908
PU2,PU,1166,3.8747855917667238,0.941060809699289,1.0,5.0,0.8855954475518812
PU3,PU,1166,3.8773584905660377,0.8941691250339053,1.0,5.0,0.7995384241638999
PEU1,PEU,1166,3.422813036020583,1.0598214981462306,1.0,5.0,1.1232216079329205
PEU2,PEU,1166,3.775300171526587,0.9948919517498485,1.0,5.0,0.9898099956566229
PO1,PO,1166,3.7778730703259007,0.967040139335141,1.0,5.0,0.9351666310853289
PO2,PO,1166,3.753859348198971,0.9911010190618802,1.0,5.0,0.9822812299854974
PRI1,PRI,1166,3.9519725557461407,0.7636092652500887,1.0,5.0,0.5830991099757802
PRI2,PRI,1166,3.957975986277873,0.7667672640319789,1.0,5.0,0.5879320371910864
PRI3,PRI,1166,3.978559176672384,0.7798227923587768,1.0,5.0,0.60812358748224
