respondent,INT_raw,BE_raw,z_INT,z_BE,GAP
0,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
1,5.0,2.75,1.4497543626304852,-1.3773751114716797,2.827129474102165
2,4.0,3.75,0.14239660019649758,-0.05118239472850978,0.19357899492500735
3,4.0,2.75,0.14239660019649758,-1.3773751114716797,1.5197717116681773
4,3.0,4.0,-1.16496116223749,0.2803657844572827,-1.4453269466947727
5,3.333333333333333,2.75,-0.7291752414261612,-1.3773751114716797,0.6481998700455185
6,5.0,3.25,1.4497543626304852,-0.7142787531000948,2.16403311573058
7,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
8,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
9,3.6666666666666665,4.0,-0.2933893206148318,0.2803657844572827,-0.5737551050721146
10,3.333333333333333,3.75,-0.7291752414261612,-0.05118239472850978,-0.6779928466976514
11,3.6666666666666665,3.5,-0.2933893206148318,-0.38273057391430226,0.08934125329947046
12,4.666666666666667,4.5,1.0139684418191564,0.9434621428288676,0.07050629899028871
13,4.0,3.75,0.14239660019649758,-0.05118239472850978,0.19357899492500735
14,4.666666666666667,4.0,1.0139684418191564,0.2803657844572827,0.7336026573618737
15,4.666666666666667,3.75,1.0139684418191564,-0.05118239472850978,1.065150836547666
16,5.0,4.5,1.4497543626304852,0.9434621428288676,0.5062922198016175
17,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
18,5.0,5.0,1.4497543626304852,1.6065585012004526,-0.15680413856996744
19,4.666666666666667,4.75,1.0139684418191564,1.2750103220146602,-0.2610418801955039
20,5.0,4.5,1.4497543626304852,0.9434621428288676,0.5062922198016175
21,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
22,2.333333333333333,4.25,-2.0365330038601486,0.6119139636430752,-2.6484469675032236
23,3.0,2.25,-1.16496116223749,-2.040471469843265,0.8755103076057749
24,4.666666666666667,4.0,1.0139684418191564,0.2803657844572827,0.7336026573618737
25,4.666666666666667,5.0,1.0139684418191564,1.6065585012004526,-0.5925900593812963
26,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
27,4.666666666666667,5.0,1.0139684418191564,1.6065585012004526,-0.5925900593812963
28,4.333333333333333,4.5,0.5781825210078264,0.9434621428288676,-0.36527962182104123
29,3.6666666666666665,3.0,-0.2933893206148318,-1.0458269322858873,0.7524376116710555
30,5.0,4.25,1.4497543626304852,0.6119139636430752,0.83784039898741
31,4.0,4.25,0.14239660019649758,0.6119139636430752,-0.4695173634465776
32,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
33,3.333333333333333,3.75,-0.7291752414261612,-0.05118239472850978,-0.6779928466976514
34,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
35,4.333333333333333,4.5,0.5781825210078264,0.9434621428288676,-0.36527962182104123
36,3.6666666666666665,4.0,-0.2933893206148318,0.2803657844572827,-0.5737551050721146
37,4.0,4.0,0.14239660019649758,0.2803657844572827,-0.13796918426078514
38,4.0,3.25,0.14239660019649758,-0.7142787531000948,0.8566753532965924
