respondent,max_posterior
0,0.9998372206426204
1,0.9999196740162446
2,0.9998422206610154
3,0.9996681166380464
4,0.5899529839996792
5,0.540798652428411
6,0.999894351939553
7,0.9998372206426204
8,0.9998372206426204
9,0.9355318701974386
10,0.6117843493999806
11,0.9503743091455186
12,0.9999460358003716
13,0.9998422206610154
14,0.9999895060089816
15,0.9999943118642458
16,0.999939520317123
17,0.9998372206426204
18,0.5274361772357831
19,0.9998496432947712
20,0.999939520317123
21,0.9998372206426204
22,0.9997470087716628
23,0.943594081749102
24,0.9999895060089816
25,0.9987403447790472
26,0.9998372206426204
27,0.9987403447790472
28,0.999500540877914
29,0.9722080137650292
30,0.9999220682050702
31,0.9998180824356884
32,0.9998372206426204
33,0.6117843493999806
34,0.9998372206426204
35,0.999500540877914
36,0.9355318701974386
37,0.9998372206426204
38,0.999809448009515
39,0.9994933100363383
40,0.9998339782328896
41,0.9999460358003716
42,0.5274361772357831
43,0.9317669571278138
44,0.9997784631072436
45,0.9503743091455186
46,0.9326736070737094
47,0.7576756738094724
48,0.999500540877914
49,0.9999895060089816
50,0.8884907451716046
51,0.9612737587573726
52,0.9998339782328896
53,0.9355318701974386
54,0.7228504799778805
55,0.9612737587573726
56,0.9998422206610154
57,0.5274361772357831
58,0.5274361772357831
59,0.5274361772357831
60,0.9999064567321856
61,0.5274361772357831
62,0.5621139742411533
63,0.999956267006722
64,0.9998496432947712
65,0.999939520317123
66,0.9998496432947712
67,0.9998954138756708
68,0.999500540877914
69,0.9998372206426204
70,0.9997784631072436
71,0.5274361772357831
72,0.5274361772357831
73,0.9987403447790472
74,0.8815335041699437
75,0.9998180824356884
76,0.8884907451716046
77,0.999809448009515
78,0.9999460358003716
79,0.9503743091455186
80,0.999999999406274
81,0.9996980195456996
82,0.8259512341149247
83,0.9317669571278138
84,0.9612737587573726
85,0.8884907451716046
86,0.9997584183494967
87,0.9999467960707928
88,0.9998496432947712
89,0.9984954250511128
90,0.9998372206426204
91,0.9355318701974386
92,0.9252968743678996
93,0.9998954138756708
94,0.9997584183494967
95,0.9998372206426204
96,0.8259512341149247
97,0.8259512341149247
98,0.8259512341149247
99,0.9999158604011552
100,0.9998667955877588
101,0.9987403447790472
102,0.9988161379559544
103,0.9987403447790472
104,0.9997584183494967
105,0.9998422206610154
106,0.999500540877914
107,0.8259512341149247
108,0.9999460358003716
109,0.9984954250511128
110,0.9988161379559544
111,0.9997784631072436
112,0.5274361772357831
113,0.999939520317123
114,0.9988161379559544
115,0.9317669571278138
116,0.999977782294173
117,0.5274361772357831
118,0.9987403447790472
119,0.9999158604011552
120,0.9517026783720948
121,0.9252968743678996
122,0.8884907451716046
123,0.9559594554209702
124,0.9999220682050702
125,0.9999064567321856
126,0.999956267006722
127,0.9998372206426204
128,0.9997584183494967
129,0.9998496432947712
130,0.9998180824356884
131,0.9999964605881364
132,0.9998422206610154
133,0.9999158604011552
134,0.9722080137650292
135,0.9503743091455186
136,0.9503743091455186
137,0.999500540877914
138,0.9999467960707928
139,0.6723642805197685
140,0.999500540877914
141,0.9998667955877588
142,0.999500540877914
143,0.9998180824356884
144,0.9999964605881364
145,0.9998339782328896
146,0.9998372206426204
147,0.9999460358003716
148,0.9999637674547336
149,0.999894351939553
150,0.9999382526254031
151,0.9999064567321856
152,0.9998422206610154
153,0.9999064567321856
154,0.9999220682050702
155,0.9999220682050702
156,0.9998180824356884
157,0.9999964605881364
158,0.9355318701974386
159,0.999977782294173
160,0.9612737587573726
161,0.9998372206426204
162,0.9999382526254031
163,0.9517026783720948
164,0.7228504799778805
165,0.9763433778022172
166,0.9722080137650292
167,0.9984954250511128
168,0.9998422206610154
169,0.9998667955877588
170,0.9998422206610154
171,0.9984954250511128
172,0.9999382526254031
173,0.9998339782328896
174,0.5274361772357831
175,0.9999964605881364
176,0.5320591205995429
177,0.9999895060089816
178,0.9984954250511128
179,0.999500540877914
180,0.9998339782328896
181,0.999500540877914
182,0.9987403447790472
183,0.9999982557801582
184,0.9999064567321856
185,0.9999964605881364
186,0.5320591205995429
187,0.5621139742411533
188,0.9998180824356884
189,0.9999158604011552
190,0.999939520317123
191,0.999500540877914
192,0.9998422206610154
193,0.9999467960707928
194,0.9999943118642458
195,0.9999943118642458
196,0.9999158604011552
197,0.9999045483249754
198,0.9984954250511128
199,0.9999895060089816
200,0.9999220682050702
201,0.9999381848299358
202,0.9998667955877588
203,0.999500540877914
204,0.5274361772357831
205,0.999939520317123
206,0.9999895060089816
207,0.5621139742411533
208,0.5621139742411533
209,0.9999964605881364
210,0.9998372206426204
211,0.9999467960707928
212,0.9998422206610154
213,0.9814712657884456
214,0.999500540877914
215,0.9984954250511128
216,0.9997584183494967
217,0.9999382526254031
218,0.9999158604011552
219,0.6705210906335481
220,0.6117843493999806
221,0.9998372206426204
222,0.9998422206610154
223,0.9355318701974386
224,0.9999064567321856
225,0.999977782294173
226,0.9999064567321856
227,0.9997584183494967
228,0.9998372206426204
229,0.5274361772357831
230,0.9998180824356884
231,0.999939520317123
232,0.5899529839996792
233,0.857026762350012
234,0.857026762350012
235,0.9997784631072436
236,0.9999964605881364
237,0.999977782294173
238,0.9999460358003716
239,0.9999382526254031
240,0.9999382526254031
241,0.8815335041699437
242,0.857026762350012
243,0.7228504799778805
244,0.7970566394739671
245,0.9559594554209702
246,0.9559594554209702
247,0.7970566394739671
