respondent,GAP
0,-0.13796918426078514
1,2.827129474102165
2,0.19357899492500735
3,1.5197717116681773
4,-1.4453269466947727
5,0.6481998700455185
6,2.16403311573058
7,-0.13796918426078514
8,-0.13796918426078514
9,-0.5737551050721146
10,-0.6779928466976514
11,0.08934125329947046
12,0.07050629899028871
13,0.19357899492500735
14,0.7336026573618737
15,1.065150836547666
16,0.5062922198016175
17,-0.13796918426078514
18,-0.15680413856996744
19,-0.2610418801955039
20,0.5062922198016175
21,-0.13796918426078514
22,-2.6484469675032236
23,0.8755103076057749
24,0.7336026573618737
25,-0.5925900593812963
26,-0.13796918426078514
27,-0.5925900593812963
28,-0.36527962182104123
29,0.7524376116710555
30,0.83784039898741
31,-0.4695173634465776
32,-0.13796918426078514
33,-0.6779928466976514
34,-0.13796918426078514
35,-0.36527962182104123
36,-0.5737551050721146
37,-0.13796918426078514
38,0.8566753532965924
39,1.8513198908539699
40,0.5251271741107999
41,0.07050629899028871
42,-0.15680413856996744
43,-0.905303284257907
44,-0.8010655426323701
45,0.08934125329947046
46,-0.4506824091373952
47,-1.5495646883203096
48,-0.36527962182104123
49,0.7336026573618737
50,-0.7822305883231877
51,0.420889432485263
52,0.5251271741107999
53,-0.5737551050721146
54,-0.6591578923884689
55,0.420889432485263
56,0.19357899492500735
57,-0.15680413856996744
58,-0.15680413856996744
59,-0.15680413856996744
60,1.1693885781732025
61,-0.15680413856996744
62,-0.34644466751185893
63,0.17474404061582494
64,-0.2610418801955039
65,0.5062922198016175
66,-0.2610418801955039
67,1.500936757358995
68,-0.36527962182104123
69,-0.13796918426078514
70,-0.8010655426323701
71,-0.15680413856996744
72,-0.15680413856996744
73,-0.5925900593812963
74,0.10817620760865299
75,-0.4695173634465776
76,-0.7822305883231877
77,0.8566753532965924
78,0.07050629899028871
79,0.08934125329947046
80,-3.5200188091258813
81,-1.1326137218181627
82,-1.464161901003955
83,-0.905303284257907
84,0.420889432485263
85,-0.7822305883231877
86,-0.03373144263524874
87,1.292461274107921
88,-0.2610418801955039
89,-1.0283759801926262
90,-0.13796918426078514
91,-0.5737551050721146
92,-1.2368514634436996
93,1.500936757358995
94,-0.03373144263524874
95,-0.13796918426078514
96,-1.464161901003955
97,-1.464161901003955
98,-1.464161901003955
99,0.6293649157363362
100,0.2978167365505437
101,-0.5925900593812963
102,-0.6968278010068338
103,-0.5925900593812963
104,-0.03373144263524874
105,0.19357899492500735
106,-0.36527962182104123
107,-1.464161901003955
108,0.07050629899028871
109,-1.0283759801926262
110,-0.6968278010068338
111,-0.8010655426323701
112,-0.15680413856996744
113,0.5062922198016175
114,-0.6968278010068338
115,-0.905303284257907
116,0.4020544781760812
117,-0.15680413856996744
118,-0.5925900593812963
119,0.6293649157363362
120,-0.11913422995160272
121,-1.2368514634436996
122,-0.7822305883231877
123,0.5439621284199823
124,0.83784039898741
125,1.1693885781732025
126,0.17474404061582494
127,-0.13796918426078514
128,-0.03373144263524874
129,-0.2610418801955039
130,-0.4695173634465776
131,1.3966990157334587
132,0.19357899492500735
133,0.6293649157363362
134,0.7524376116710555
135,0.08934125329947046
136,0.08934125329947046
137,-0.36527962182104123
138,1.292461274107921
139,-1.0095410258834439
140,-0.36527962182104123
141,0.2978167365505437
142,-0.36527962182104123
143,-0.4695173634465776
144,1.3966990157334587
145,0.5251271741107999
146,-0.13796918426078514
147,0.07050629899028871
148,-2.979995146689016
149,2.16403311573058
150,0.9609130949221287
151,1.1693885781732025
152,0.19357899492500735
153,1.1693885781732025
154,0.83784039898741
155,0.83784039898741
156,-0.4695173634465776
157,1.3966990157334587
158,-0.5737551050721146
159,0.4020544781760812
160,0.420889432485263
161,-0.13796918426078514
162,0.9609130949221287
163,-0.11913422995160272
164,-0.6591578923884689
165,-0.43184745482821274
166,0.7524376116710555
167,-1.0283759801926262
168,0.19357899492500735
169,0.2978167365505437
170,0.19357899492500735
171,-1.0283759801926262
172,0.9609130949221287
173,0.5251271741107999
174,-0.15680413856996744
175,1.3966990157334587
176,-0.014896488326066382
177,0.7336026573618737
178,-1.0283759801926262
179,-0.36527962182104123
180,0.5251271741107999
181,-0.36527962182104123
182,-0.5925900593812963
183,-0.6403229380792865
184,1.1693885781732025
185,1.3966990157334587
186,-0.014896488326066382
187,-0.34644466751185893
188,-0.4695173634465776
189,0.6293649157363362
190,0.5062922198016175
191,-0.36527962182104123
192,0.19357899492500735
193,1.292461274107921
194,1.065150836547666
195,1.065150836547666
196,0.6293649157363362
197,2.4955812949163727
198,-1.0283759801926262
199,0.7336026573618737
200,0.83784039898741
201,1.955557632479506
202,0.2978167365505437
203,-0.36527962182104123
204,-0.15680413856996744
205,0.5062922198016175
206,0.7336026573618737
207,-0.34644466751185893
208,-0.34644466751185893
209,1.3966990157334587
210,-0.13796918426078514
211,1.292461274107921
212,0.19357899492500735
213,1.0839857908568478
214,-0.36527962182104123
215,-1.0283759801926262
216,-0.03373144263524874
217,0.9609130949221287
218,0.6293649157363362
219,-1.776875125880565
220,-0.6779928466976514
221,-0.13796918426078514
222,0.19357899492500735
223,-0.5737551050721146
224,1.1693885781732025
225,0.4020544781760812
226,1.1693885781732025
227,-0.03373144263524874
228,-0.13796918426078514
